"Kalkaringi",,"KK41P","130,8000","-17,4000",,"N",,,,,,"AU","AS","AUS","036"
"Kaminoge",,"22532","139,6000","35,6000",,"N",,,,,,"JP","JA","JPN","392"
"Karachi",,"KA225","67,1000","25,0000",,"N",,,,,,"PK","PK","PAK","586"
"Karaganda",,"KR250","73,1000","49,8000",,"N",,"USSR",,,,"KZ","KZ","KAZ","398"
"Keflavik",,"KKA63","-23,4000","64,0000",,"N",,,,,,"IS","IC","ISL","352"
"Kenora",,"KN948","-94,4000","49,8000",,"N",,"CANADA",,,,"CA","CA","CAN","124"
"Kerguelen",,"KG24R","70,3000","-49,4000",,"N",,"FRANCE","Kerguellin Is.",,,"TF","FS","ATF","260"
"Kermadec",,"KC62R","-177,9000","-29,2000",,"N",,"S. PACIFIC OC.",,"RAOUL ISLAND",,,,,
"Khabarovsk",,"KB548","135,1000","48,5000",,"N",,"USSR",,,,"RU","RS","RUS","643"
"Khartoum",,"23115","32,6000","15,5000",,"N",,,,,,"SD","SU","SDN","736"
"Kheysa Is",,"BT280","58,0000","80,6000",,"N",,"USSR",,,,"RU","RS","RUS","643"
"Kiev",,"KV151","30,5000","50,5000",,"N",,"USSR",,,,"UA","UP","UKR","804"
"King Salmon",47,"KS759","-156,6000","58,7000",,"Y",,,,,,"US","US","USA","840"
"Kinshasa Binza",,"LB10M","15,2000","-4,5000",,"N",,"CONGO",,"LEOPLODVILLE",,"CD","CG","COD","180"
"Kirtland Afb",,"KR835","-106,6000","35,1000",,"N",,"USA",,,,"US","US","USA","840"
"Kiruna",,"KI167","20,4000","67,8000",,"N",,"SWEDEN",,,,"SE","SW","SWE","752"
"Kjeller",,"OS059","11,1000","60,0000",,"N",,"NORWAY",,"OSLO",,"NO","NO","NOR","578"
"Kochel",,"24064","11,4000","47,7000",,"N",,,,,,"DE","GM","DEU","276"
"Kodaikanal",,"KO310","77,5000","10,2000",,"N",,"INDIA",,,,"IN","IN","IND","356"
"Kodiak",,"KD758","-152,4000","57,8000",,"N",,,,,,"US","US","USA","840"
"Kokubunji",,"TO535","139,5000","35,7000",,"N",,"JAPAN",,"TOKYO",,"JP","JA","JPN","392"
"Kwajalein",46,"KJ609","167,2000","9,0000",,"N",,,," ",,"MH","RM","MHL","584"
"Kynd River",,"LR51Q","144,9000","-18,0000",,"N",,,,,,"AU","AS","AUS","036"
"La Paz",,"LPJ1O","-68,1000","-16,5000",,"N",,"BOLIVIA",,,,"BO","BL","BOL ","068"
"La Posta",,"LT833","-116,4000","32,7000",,"N",,"USA",,,,"US","US","USA","840"
"La Quiaca",,"LQJ2K","-65,6000","-22,1000",,"N",,"ARGENTINA",,,,"BO","BL","BOL ","068"
"La Reunion",,"LR22J","55,9000","-21,1000",,"N",,"FRANCE",,,,"RE","RE","REU","638"
"Lancaster",,"LC058","-2,0000","53,0000",,"N",,,,,,"GB","UK","GBR","826"
"Lannion",,"LN047","-3,3000","48,5000",,"N",,"FRANCE",,,,"FR","FR","FRA","250"
"Lanzhou",,"27336","103,8000","36,1000",,"N",,"CHINA",,,,"CN","CH","CHN","156"
"Laverton",,"LT42P","123,5000","-27,0000",,"N",,,,,,"AU","AS","AUS","036"
"Learmonth",48,"LM42B","114,0000","-21,9000",,"N",,"AUSTRALIA",,,,"AU","AS","AUS","036"
"Leningrad",,"LD160","30,7000","60,0000",,"N",,"USSR",,,,"RU","RS","RUS","643"
"Lerwick",,"LE061","-1,2000","60,1000",,"N",,"UK",,,,"GB","UK","GBR","826"
"Leyte",,"28411","125,0000","11,0000",,"N",," ",,"TOLASA",,"PH","RP","PHL","608"
"Lindau",,"LI050","10,1000","51,6000",,"N",,"GERMANY",,,,"DE","GM","DEU","276"
"Lisbonne",,"LE038","-9,3000","38,4000",,"N",,"PORTUGAL",,,,"PT","PO","PRT","620"
"Little America",,"LA77Q","-162,2000","-78,2000",,"N",,"USA",,,,"AQ","AY","ATA","010"
"Longuach",,"LG52L","143,8000","-23,4000",,"N",,,,,,"AU","AS","AUS","036"
"Longyearbyen",,"LG178","15,9000","78,2000",,"N",,"NORWAY",,,,"SJ","SV","SJM","744"
"Loparskaya",51,"MM168","33,0000","68,0000",,"N",,"USSR",,"MURMANSK",,"RU","RS","RUS","643"
"Loshan",,"29329","103,7000","29,5000",,"N",,,,,,"CN","CH","CHN","156"
"Louisvale",,"LV12P","21,2000","-28,5000",,"Y",,"S. AFRICA",,,,"ZA","SF","ZAF","710"
"Lulea",,"LU165","22,1000","65,6000",,"N",,"SWEDEN",,,,"SE","SW","SWE","752"
"Lunping",,"LV425","121,2000","24,9000",,"N",,"TAIWAN",,,,"TW","TW","TWN","158"
"Lwiro",,"LW10K","28,8000","-2,3000",,"N",,"CONGO",,,,"CD","CG","COD","180"
"Lycksele",,"LY164","18,8000","64,6000",,"N",,"SWEDEN",,,,"SE","SW","SWE","752"
"Lynd River",,"LR51Q","144,9000","-18,0000",,"N",,,,,,"AU","AS","AUS","036"
"Macau",,"MC422","113,6000","22,2000",,"N",,,,"MACAO",,"CN","CH","CHN","156"
"Macquarie Is",52,"MQ55M","159,0000","-54,5000",,"Y",,"AUSTRALIA",,,,,,,
"Madimbo",53,"MU12K","30,8963","-22,4720",,"Y",,"S. AFRICA",,,,"BW","BC","BWA","072"
"Madras",,"MD313","80,3000","13,1000",,"N",,"INDIA",,,,"IN","IN","IND","356"
"Magadan",49,"MG560","151,0000","60,0000",,"N",,"USSR",,"STEKOLINIY",,"RU","RS","RUS","643"
"Makassar",,"3040N","119,5000","-5,2000",,"N",,,,,,"ID","ID","IDN","360"
"Manila",,"MN414","121,1000","14,6000",,"N",,"PHILIPPINE IS",,"NOCHOLS FIELD"," QUEZON CITY","PH","RP","PHL","608"
"Manzhouli",,"ML449","117,5000","49,6000",,"N",,"CHINA",,,,"CN","CH","CHN","156"
"Marion Is",,"MR14O","37,9000","-46,9000",,"N",,"S. AFRICA",,,,,,,
"Marsh",,"MSJ6K","-58,9000","-62,2000",,"N",,,,,,"AQ","AY","ATA","010"
"Maui",,"MA720","-156,5000","20,8000",,"N",,"USA",,,,"US","US","USA","840"
"Mawson",55,"MW26P","62,9000","-67,6000",,"Y",,"AUSTRALIA",,,,"AQ","AY","ATA","010"
"Maynard",,"MYJ43","-71,4000","42,4000",,"N",,"USA",,"BOSTON",,"US","US","USA","840"
"Meanook",,"ME855","-113,3000","54,6000",,"N",,"CANADA",,,,"CA","CA","CAN","124"
"Meguro",,"31534","139,7000","35,6000",,"N",,,,,,"JP","JA","JPN","392"
"Merida",,"MVJ08","-71,1000","8,3000",,"N",,,,,,"VE","VE","VEN","862"
"Mexico City",,"MX919","-99,7000","19,4000",,"N",,,,"EL CERRILLO",,"MX","MX","MEX","484"
"Michurin",,"MB140","27,9000","42,2000",,"N",,,,,,"BU","BG","BGR","100"
"Midway Is",,"MD628","-177,3667","28,2167",,"N",,,,,,,,,
"Miedzeszyn",,"MZ152","21,2000","52,2000",,"N",,"POLAND",,"WARSAW",,"PL","PL","POL","616"
"Millstone Hill",50,"MHJ45","-71,4953","42,6107",,"Y",,"USA",,,,"US","US","USA","840"
"Mirney",,"MI36O","93,0000","-66,5000",,"N",,"USSR",,,,"AQ","AY","ATA","010"
"Moscow",,"MO155","37,3000","55,5000",,"N",,"USSR",,"KRASNAYA PAKHRA",,"RU","RS","RUS","643"
"Mundaring",54,"MU43K","116,2000","-32,0000",,"N",,"AUSTRALIA",,,,"AU","AS","AUS","036"
"Murmansk",,"MM168","33,0000","69,0000",,"N",,"USSR",,,,"RU","RS","RUS","643"
"Nairobi",,"NR10J","36,9000","-1,3000",,"N",,"KENYA",,,,"KE","KE","KEN","404"
"Nanking",,"32432","119,0000","32,1000",,"N",,"CHINA",,,,"CN","CH","CHN","156"
"Narssarssuaq",58,"NQJ61","-45,4416","61,1621",,"Y",,"DENMARK",,,,"GL","GL","GRL","304"
"Natal",,"NLA0N","-35,2000","-5,7000",,"N",,"BRAZIL",,,,"BR","BR","BRA","076"
"Nha Trang",,"33412","109,2000","12,2000",,"N",,,,,,"VN","VM","VNM","704"
"Nicosia",,"NC136","33,2000","35,1000",,"N",,"CYPRUS",,,,"CY","CY","CYP","196"
"Niue Island",56,"ND61R","169,9000","19,1000",,"Y",,"AUSTRALIA",,,,"UM","WQ","UMI","581"
"Nord",,"NDA81","-17,5000","81,4000",,"N",,,,,,"GL","GL","GRL","304"
"Norfolk Is",57,"NI63_","168,0000","-29,0000",,"Y",,"AUSTRALIA",,,,"NF","NF","NFK","574"
"Norilsk",,"NO369","88,1000","69,4000",,"N",,"USSR",,,,"RU","RS","RUS","643"
"Novokazalinsk",,"NK246","62,1000","45,5000",,"N",,"USSR",,,,"KZ","KZ","KAZ","398"
"Novosibirsk",,"NS355","83,2000","54,6000",,"N",,"USSR",,,,"RU","RS","RUS","643"
"Nurmijarvi",,"NU159","24,6000","60,5000",,"N",,"FINLAND",,,,"FI","FI","FIN","246"
"Okinawa",,"OK426","127,8000","26,3000",,"N",,"JAPAN",,,,"JP","JA","JPN","392"
